fastqs,sample,library_type
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374997,SRR17374997,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374998,SRR17374998,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17374999,SRR17374999,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375000,SRR17375000,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375001,SRR17375001,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375002,SRR17375002,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375003,SRR17375003,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375004,SRR17375004,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375005,SRR17375005,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375006,SRR17375006,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375007,SRR17375007,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375008,SRR17375008,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375009,SRR17375009,Gene Expression
/gpfs/commons/groups/sanjana_lab/Cas13/Liver_Atlas/fastq/SRR17375010,SRR17375010,Gene Expression